energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.654,0.09,134.989,0.0369,0.258,1.42e-05,4,0.528,11,211275,-5.394,0.181,0,audio_features,spotify:track:1zeH4lyTUZBp567d6K6zTM
0.725,0.101,96.97,0.0323,0.00201,2.02e-05,4,0.605,5,193293,-5.729,0.539,1,audio_features,spotify:track:0lmMtDQ2ElasKU2qDAE6NN
0.719,0.146,123.075,0.039,0.0696,0.0,4,0.545,11,195213,-5.424,0.196,0,audio_features,spotify:track:6t7089pe4VklogK683LdPM
0.589,0.209,106.085,0.0352,0.595,0.0,4,0.76,0,171800,-6.501,0.648,1,audio_features,spotify:track:2GWIkTxEn3zTBkadr0GPQd
0.912,0.118,126.023,0.0377,0.0272,0.000443,4,0.727,8,179217,-3.594,0.671,0,audio_features,spotify:track:7qZOnik9K8Mv987ccBjwwj
0.73,0.0897,171.005,0.0598,0.00146,9.54e-05,4,0.514,1,200040,-5.934,0.334,1,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
0.765,0.203,174.021,0.111,0.464,3.29e-06,4,0.691,8,246000,-4.727,0.855,1,audio_features,spotify:track:06s3QtMJVXw1AJX3UfvZG1
0.693,0.173,168.169,0.0545,0.00536,0.0,4,0.571,6,232253,-8.234,0.393,0,audio_features,spotify:track:0EhpEsp4L0oRGM0vmeaN5e
0.719,0.0736,100.021,0.0346,0.00285,8.1e-05,4,0.667,7,237520,-5.371,0.717,0,audio_features,spotify:track:7szuecWAPwGoV1e5vGu8tl
0.403,0.0777,74.95,0.0755,0.744,0.000667,4,0.465,11,247227,-8.895,0.0687,0,audio_features,spotify:track:5fohLPNqO6TqwrZ7BoUWUT
0.653,0.0969,121.348,0.0503,0.457,0.0,4,0.549,0,187173,-7.47,0.287,1,audio_features,spotify:track:6bLU8e0LGyztE9iD5DWBQ1
0.799,0.349,127.952,0.0492,0.00323,0.03,4,0.554,2,204693,-6.339,0.353,1,audio_features,spotify:track:4GWnDzLsP31cul3K88pKVn
0.701,0.0513,99.984,0.0944,0.0165,0.00365,4,0.839,9,136200,-6.029,0.273,1,audio_features,spotify:track:25c15KvAiyM8DNmDoFqwzm
0.839,0.178,91.037,0.0477,0.0837,0.0,4,0.631,5,216245,-4.485,0.569,0,audio_features,spotify:track:1qAHVZRJNdvEHpawbz7wtQ
0.701,0.0589,126.975,0.0458,0.257,7.52e-06,4,0.871,5,198440,-5.594,0.716,0,audio_features,spotify:track:5r5cp9IpziiIsR6b93vcnQ
0.522,0.138,139.991,0.0655,0.109,1.06e-05,4,0.609,0,198402,-5.569,0.3,0,audio_features,spotify:track:1ooP2mxAp73HtHb4KJ8dtB
0.65,0.269,107.992,0.0331,0.0487,0.0502,4,0.679,10,253773,-7.902,0.674,0,audio_features,spotify:track:6hmtNel4OKlBpBcTO7ao3o
0.747,0.028,109.022,0.124,0.0393,6.63e-06,4,0.511,0,229285,-5.904,0.564,1,audio_features,spotify:track:56khZQKfmdTikYbbZLgxAY
0.459,0.11,79.916,0.0321,0.919,0.722,4,0.557,4,202536,-7.781,0.189,0,audio_features,spotify:track:6potEImiklXkwD9qFzpu15
0.551,0.0907,79.65,0.213,0.73,0.00166,1,0.394,8,174568,-6.456,0.451,0,audio_features,spotify:track:2t16D9V5FmmRAJjsSpwvZf
0.77,0.0788,106.971,0.0644,0.302,8.7e-05,4,0.664,11,218667,-7.37,0.516,0,audio_features,spotify:track:0vRzkS5q93dBcMCxDrJpxX
0.589,0.176,146.928,0.232,0.0812,0.0,4,0.756,0,205593,-5.093,0.811,1,audio_features,spotify:track:0OwX5aROoW1Iip8FV51Efg
0.491,0.61,81.095,0.218,0.0756,0.0,4,0.699,1,367151,-9.911,0.24,1,audio_features,spotify:track:4QV4EEYszD7HGrTo6PzX9K
0.674,0.138,105.0,0.04,0.0184,0.0149,4,0.705,11,343800,-8.432,0.103,0,audio_features,spotify:track:6vjWim6xU6tPjA42GxSp1U
0.551,0.0537,146.092,0.317,0.0488,0.00728,4,0.875,6,200613,-6.744,0.861,0,audio_features,spotify:track:5Ssv6DaKrW0HczVqx6zXdl
0.431,0.101,129.797,0.0374,0.306,0.0,4,0.535,0,230233,-8.071,0.0954,1,audio_features,spotify:track:6LMTqDK4uVR8XsCzel1nkH
0.129,0.122,137.734,0.0348,0.915,0.872,3,0.303,0,118747,-18.549,0.073,0,audio_features,spotify:track:18jxPJ0aA7zq0ijztjSvTY
0.426,0.0847,88.802,0.218,0.232,0.0754,4,0.46,0,157477,-7.286,0.432,0,audio_features,spotify:track:18wCJcoFmXZ0jfrFhF6cYS
0.816,0.335,95.39,0.0465,0.122,0.0,4,0.548,0,174000,-4.209,0.557,1,audio_features,spotify:track:1e9oZCCiX42nJl0AcqriVo
0.486,0.098,125.021,0.0353,0.408,0.0,4,0.768,3,166266,-5.954,0.519,1,audio_features,spotify:track:0vQcyuMEfRBd21ojZ62N2L
0.273,0.109,132.285,0.038,0.94,0.431,5,0.365,4,248965,-16.526,0.238,0,audio_features,spotify:track:4HbeGjbt7u3pvwDk1vN7P0
0.314,0.0892,75.056,0.0407,0.942,0.676,4,0.252,5,247808,-18.197,0.2,0,audio_features,spotify:track:0SUDiaR0qm30fXVGPjPvRp
0.539,0.0589,107.531,0.0277,0.000655,0.005,4,0.701,2,312627,-8.968,0.752,1,audio_features,spotify:track:0z1b34WikhOH9ZxU8QDWcv
0.84,0.169,108.022,0.0453,0.00534,0.342,4,0.663,9,271136,-5.618,0.2,0,audio_features,spotify:track:4x6aawsLyPkF3aGPXGvbat
0.753,0.0559,116.948,0.0832,0.00472,0.000496,4,0.672,4,211843,-4.863,0.421,1,audio_features,spotify:track:2WmsRaMVqKzM78EtK0jBzu
0.478,0.355,142.998,0.101,0.137,0.00481,4,0.794,11,166528,-8.44,0.278,0,audio_features,spotify:track:4X8BdS36foKWrwH76QcKNS
0.799,0.15,103.014,0.0261,0.0128,0.0,4,0.606,9,232907,-4.452,0.638,1,audio_features,spotify:track:5iFwAOB2TFkPJk8sMlxP8g
0.489,0.123,112.641,0.0354,0.582,0.0,4,0.466,10,167979,-6.151,0.401,1,audio_features,spotify:track:0gmgCD6OoJMcoK5af0exA2
0.712,0.0677,149.998,0.112,0.0185,0.0,4,0.758,7,193387,-3.781,0.795,1,audio_features,spotify:track:2q4rjDy9WhaN3o9MvDbO21
0.844,0.0723,113.324,0.0334,0.25,0.000678,4,0.788,2,251240,-3.131,0.382,1,audio_features,spotify:track:6ic8OlLUNEATToEFU3xmaH
0.587,0.105,111.97,0.0336,0.0505,0.00714,4,0.855,8,177466,-4.589,0.64,1,audio_features,spotify:track:1vxw6aYJls2oq3gW0DujAo
0.693,0.0858,129.989,0.0981,0.144,7.06e-06,4,0.884,9,187202,-8.598,0.587,0,audio_features,spotify:track:3ju9dPdSqHHludcvb1V4M8
0.423,0.0777,145.039,0.0453,0.457,0.000306,4,0.689,6,225549,-8.602,0.355,0,audio_features,spotify:track:1uRj7VzkLDX0Eip0Y3lqpy
0.58,0.436,110.264,0.0278,0.357,0.000353,4,0.629,7,210300,-6.208,0.655,0,audio_features,spotify:track:7KX65PC1UZuImsUInThbav
0.201,0.0862,119.911,0.0347,0.888,0.0,4,0.573,6,268893,-8.192,0.173,1,audio_features,spotify:track:1Y4P4dtL1a0Tz9sIZuSeC0
0.756,0.106,117.016,0.047,0.00632,0.00577,4,0.736,11,231847,-7.099,0.712,1,audio_features,spotify:track:2NjO87HyT80fsgejd3PLYW
0.0909,0.14,90.075,0.0373,0.959,4.59e-05,3,0.417,7,162326,-15.526,0.101,1,audio_features,spotify:track:31FBEeTXpaeCncCbCmS7ax
